,0
1,7722.042214976187
2,7817.832407105376
3,7913.622599234564
4,8009.412791363753
5,5630.9757414757405
6,5726.76593360493
7,5822.556125734119
8,5918.346317863308
9,6014.136509992497
10,6109.926702121686
11,6205.716894250875
12,5656.785049717808
13,5752.5752418469965
14,7745.489720709889
15,7841.279912839079
16,7937.0701049682675
17,8032.860297097457
18,7447.891190453942
19,5069.454140565929
20,5165.244332695118
21,5261.034524824307
22,5356.824716953496
23,5452.614909082685
24,5548.405101211874
25,5644.195293341063
26,5095.263448807996
27,5191.053640937184
28,7116.349038421319
29,7212.139230550508
30,7307.929422679697
31,7403.719614808886
32,7499.509806938075
33,5121.072757050062
34,5216.862949179252
35,5312.65314130844
36,5408.44333343763
37,5504.233525566819
38,5600.023717696007
39,5695.813909825197
40,5146.8820652921295
41,5242.672257421318
42,7167.967654905453
43,7263.757847034642
44,7359.54803916383
45,7455.33823129302
46,7551.128423422209
47,5172.691373534196
48,5268.4815656633855
49,6940.900916507995
50,7036.691108637184
51,7132.481300766373
52,7228.271492895563
53,4849.83444300755
54,4945.624635136739
55,5041.414827265928
56,5137.205019395117
57,5232.995211524306
58,5328.7854036534945
59,5424.575595782684
60,4875.643751249617
61,4971.433943378805
62,6896.729340862939
63,6992.519532992129
64,7088.3097251213185
65,7184.099917250507
66,6599.130810606992
67,4220.693760718979
68,4316.483952848168
69,4412.274144977357
70,4508.064337106546
71,4603.854529235736
72,4699.644721364924
73,4795.434913494113
74,4246.503068961046
75,4342.293261090235
76,6267.588658574369
77,6363.378850703558
78,6459.169042832747
79,6554.959234961936
80,6650.749427091126
81,4272.312377203113
82,4368.102569332302
83,4463.892761461491
84,4559.68295359068
85,4655.473145719869
86,4818.882419227816
87,4914.672611357006
88,4298.1216854451795
89,4393.911877574368
90,6386.826356437261
91,6482.616548566451
92,6578.406740695639
93,6674.196932824829
94,6769.987124954017
95,4323.930993687247
96,4419.7211858164355
97,8046.665006724741
98,8142.455198853931
99,8238.24539098312
100,8334.035583112309
101,5955.598533224295
102,6051.388725353485
103,6147.178917482674
104,6242.969109611863
105,6338.759301741052
106,6434.549493870241
107,6530.33968599943
108,5981.407841466363
109,6077.198033595551
110,8002.493431079686
111,8098.283623208876
112,8194.073815338064
113,8289.864007467253
