,0
1,6119.385336682913
2,6118.951885837451
3,6118.51843499199
4,6118.084984146529
5,6117.651960219723
6,6117.21799165482
7,6116.784540809359
8,6116.351089963898
9,6115.917639118436
10,6115.484188272975
11,6115.050737427512
12,6114.617804301491
13,6114.18383573659
14,6113.749974994712
15,6113.316524149251
16,6112.883073303788
17,6112.449622458326
18,6112.016171612865
19,6111.583147686059
20,6111.149179121158
21,6110.715728275695
22,6110.282277430234
23,6109.848826584773
24,6109.4153757393115
25,6108.98192489385
26,6108.548991767827
27,6108.115023202926
28,6107.681663158249
29,6107.2482123127875
30,6106.814761467326
31,6106.381310621863
32,6105.947859776402
33,6105.514835849596
34,6105.080867284695
35,6104.647416439234
36,6104.213965593771
37,6103.7805147483095
38,6103.347063902848
39,6102.913613057387
40,6102.480679931366
41,6102.046711366463
42,6101.613351321786
43,6101.179900476324
44,6100.746449630863
45,6100.312998785402
46,6099.879547939939
47,6099.446524013133
48,6099.012555448232
49,6052.862245329529
50,6052.428794484068
51,6051.995343638605
52,6051.561892793144
53,6051.128868866338
54,6050.694900301437
55,6050.261449455976
56,6049.827998610513
57,6049.394547765051
58,6048.96109691959
59,6048.527646074129
60,6048.094712948107
61,6047.6607443832045
62,6047.227384338527
63,6046.793933493066
64,6046.360482647605
65,6045.927031802144
66,6045.4935809566805
67,6045.060557029875
68,6044.626588464974
69,6044.1931376195125
70,6043.759686774051
71,6043.326235928588
72,6042.892785083127
73,6042.459334237666
74,6042.026401111644
75,6041.592432546743
76,6041.159072502064
77,6040.725621656603
78,6040.292170811142
79,6039.85871996568
80,6039.425269120219
81,6038.992245193412
82,6038.558276628511
83,6038.124825783049
84,6037.691374937588
85,6037.257924092127
86,6036.823972549463
87,6036.390521704002
88,6035.958089275181
89,6035.52412071028
90,6035.090259968402
91,6034.656809122939
92,6034.223358277478
93,6033.789907432017
94,6033.356456586555
95,6032.92393335695
96,6032.489964792047
97,6118.117888181868
98,6117.6844373364065
99,6117.250986490945
100,6116.817535645484
101,6116.384511718678
102,6115.950543153777
103,6115.517092308314
104,6115.083641462853
105,6114.650190617392
106,6114.21673977193
107,6113.783288926469
108,6113.350355800446
109,6112.916387235545
110,6112.483027190868
111,6112.049576345406
112,6111.616125499945
113,6111.182674654482
114,6110.749223809021
115,6110.316199882215
116,6109.882231317314
117,6109.448279774652
118,6109.014828929189
119,6108.581378083728
120,6108.147927238267
121,6107.714476392805
122,6107.2820439639845
123,6106.848075399082
124,6106.414214657204
125,6105.980763811743
126,6105.547312966281
127,6105.11386212082
128,6104.680411275357
129,6104.247888045752
130,6103.813919480851
131,6103.379967938189
132,6102.946517092728
133,6102.513066247265
134,6102.0796154018035
135,6101.646164556342
136,6101.213732127521
137,6100.77976356262
138,6100.345902820741
139,6099.9124519752795
140,6099.479001129818
141,6099.045550284357
142,6098.612099438896
143,6098.179576209289
144,6097.745607644388
145,6117.989652535781
146,6117.5562016903195
147,6117.122750844858
148,6116.689299999397
149,6116.25627607259
150,6115.8223075076885
151,6115.388856662227
152,6114.955405816766
153,6114.521954971305
154,6114.088504125842
155,6113.65505328038
156,6113.222120154359
157,6112.788151589458
158,6112.354791544781
159,6111.921340699318
160,6111.487889853856
161,6111.054439008395
162,6110.620988162934
163,6110.187964236128
164,6109.753995671225
165,6109.3200441285635
166,6108.886593283102
167,6108.453142437641
168,6108.01969159218
169,6107.586240746717
170,6107.153808317896
171,6106.719839752995
172,6106.285979011117
173,6105.852528165656
174,6105.419077320193
175,6104.985626474731
176,6104.55217562927
177,6104.119652399665
178,6103.685683834764
179,6103.2517322921
180,6102.818281446639
181,6102.384830601178
182,6101.9513797557165
183,6101.517928910255
184,6101.0854964814325
185,6100.651527916531
186,6100.217667174654
187,6099.7842163291925
188,6099.350765483731
189,6098.91731463827
190,6098.483863792807
191,6098.051340563202
192,6097.617371998301
193,6117.719121282688
194,6117.285670437227
195,6116.852219591764
196,6116.418768746303
197,6115.985744819497
198,6115.551776254596
199,6115.118325409135
200,6114.684874563672
201,6114.25142371821
202,6113.817972872749
203,6113.384522027288
204,6112.951588901266
205,6112.517620336365
206,6112.084260291686
207,6111.650809446225
208,6111.217358600764
209,6110.783907755303
210,6110.350456909841
211,6109.917432983034
212,6109.483464418133
213,6109.050013572672
214,6108.61656272721
215,6108.183111881749
216,6107.749661036286
217,6107.316210190825
218,6106.883277064803
219,6106.449308499902
220,6106.015948455225
221,6105.582497609762
222,6105.149046764301
223,6104.715595918839
224,6104.282145073378
225,6103.8491211465725
226,6103.41515258167
227,6102.981701736208
228,6102.548250890747
229,6102.114800045286
230,6101.680848502624
231,6101.247397657161
232,6100.81496522834
233,6100.380996663439
234,6099.947135921561
235,6099.5136850761
236,6099.080234230637
237,6098.646783385176
238,6098.213332539714
239,6097.780809310109
240,6097.346840745208
241,6117.590885636601
242,6117.157434791138
243,6116.723983945677
244,6116.290533100216
245,6115.85750917341
246,6115.423540608509
247,6114.990089763046
248,6114.556638917585
249,6114.123188072123
250,6113.689737226662
251,6113.256286381201
252,6112.823353255178
253,6112.3893846902765
254,6111.956024645599
255,6111.522573800138
256,6111.088622257476
257,6110.655171412013
258,6110.221720566552
259,6109.788696639746
260,6109.354728074845
261,6108.921277229384
262,6108.487826383921
263,6108.05437553846
264,6107.620924692998
265,6107.187473847537
266,6106.754540721516
267,6106.320572156613
268,6105.887212111936
269,6105.453761266474
270,6105.020310421013
271,6104.586859575552
272,6104.153408730089
273,6103.720384803283
274,6103.286416238382
275,6102.852965392921
276,6102.41951454746
277,6101.9860637019965
278,6101.552612856535
279,6101.119162011074
280,6100.6862288850525
281,6100.252260320151
282,6099.8189002754725
283,6099.385449430011
284,6098.95199858455
285,6098.518547739089
286,6098.085096893627
287,6097.65207296682
288,6097.218104401919
289,5968.751170743927
290,5968.317719898466
291,5967.884269053005
292,5967.450818207543
293,5967.017794280736
294,5966.583825715835
295,5966.1503748703735
296,5965.716924024912
297,5965.283473179451
298,5964.850022333988
299,5964.416571488527
300,5963.983638362505
301,5963.549669797604
302,5963.116309752927
303,5962.682858907464
304,5962.249408062003
305,5961.815957216541
306,5961.38250637108
307,5960.9494824442745
308,5960.515513879373
309,5960.08156233671
310,5959.6481114912485
311,5959.214660645787
312,5958.781209800326
313,5958.347758954865
314,5957.915326526042
315,5957.481357961141
316,5957.047497219263
317,5956.614046373802
318,5956.180595528341
319,5955.747144682878
320,5955.313693837416
321,5954.881170607811
322,5954.44720204291
323,5954.013250500248
324,5953.579799654785
325,5953.146348809324
326,5952.712897963863
327,5952.279447118402
328,5951.847014689581
329,5951.413046124678
330,5950.9791853828
331,5950.545734537339
332,5950.112283691878
333,5949.678832846416
334,5949.245382000953
335,5948.812858771348
336,5948.378890206447
337,6044.654734234685
338,6044.221283389224
339,6043.787832543762
340,6043.354381698299
341,6042.921357771494
342,6042.4873892065925
343,6042.053938361131
344,6041.62048751567
